#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"Name","Department","City","Office"
"Abbi Skinner","IT","London","LON-A/1000"
"Anastasia Rojas","IT","London","LON-A/1000"
"Arnaud Kleefstra","IT","London","LON-A/1000"
"Beatrise Jaunzema","IT","London","LON-A/1000"
"Beth Burke","IT","London","LON-A/1000"
"Dante Dabney","IT","London","LON-A/1000"
"Federico Clemente","IT","London","LON-A/1000"
"Huong Tang","IT","London","LON-A/1000"
"Ida Alksne","IT","London","LON-A/1000"
"Jaap Van Eeuwijk","IT","London","LON-A/1000"
"Klemen Sic","IT","London","LON-A/1000"
"Lara Raisic","IT","London","LON-A/1000"
"Liene Jaunzema","IT","London","LON-A/1000"
"Logan Boyle","IT","London","LON-A/1000"
"Maj Hojski","IT","London","LON-A/1000"
"Melanie Orr","IT","London","LON-A/1000"
"Millie Kirk","IT","London","LON-A/1000"
"Nestor Fiore","IT","London","LON-A/1000"
"Pam Nicholson","IT","London","LON-A/1000"
"Parsa Schoonen","IT","London","LON-A/1000"
"Tonia Guthrie","IT","London","LON-A/1000"
"Victoria Bryan","IT","London","LON-A/1000"
